Instancia;Métrica;Sección 5;Col. iniciales;Rankear;Eliminar col.
instance_0001.txt;Restricciones;157;157;157;157
;# variables inicial;17;17;17;17
;# variables en últ. maestro;18;18;18;17
;Cota dual;51.0;51.0;51.0;0
;Mejor objetivo;68;68;68;68
instance_0002.txt;Restricciones;9;9;9;9
;# variables inicial;6;6;6;6
;# variables en últ. maestro;6;6;6;6
;Cota dual;8.0;8.0;8.0;0
;Mejor objetivo;2;2;2;2
instance_0003.txt;Restricciones;248;248;248;248
;# variables inicial;14;14;14;14
;# variables en últ. maestro;15;15;15;14
;Cota dual;50.0;50.0;50.0;0
;Mejor objetivo;68;68;68;75
instance_0004.txt;Restricciones;0;0;0;0
;# variables inicial;0;0;0;0
;# variables en últ. maestro;0;0;0;0
;Cota dual;0;0;0;0
;Mejor objetivo;0;0;0;0
